date,decision,entry_time,entry_price,SL,TP,exit_time,exit_price,exit_reason,pnl_pts,pnl_usd,notes,pnl_usd_filled,equity,equity_peak,drawdown,year,month,equity_shift,cum_long,cum_short,cost_commission_usd,cost_spreadslip_usd,cost_total_usd,pnl_usd_net,equity_net,equity_net_peak,drawdown_net
2022-08-24,long,10:22,12921.559,12896.559,12996.559,10:41:00,12896.559,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,310828.00000000035,331864.8000000003,21036.79999999993,2022,8,312828.00000000035,65911.04000000021,144916.9600000001,0.0,60.0,60.0,-2060.0,277528.00000000035,300064.8000000003,22536.79999999993
2022-08-25,long,10:22,13054.789,13029.789,13129.789,11:14:00,13029.789,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,308828.00000000035,331864.8000000003,23036.79999999993,2022,8,310828.00000000035,63911.04000000021,144916.9600000001,0.0,60.0,60.0,-2060.0,275468.00000000035,300064.8000000003,24596.79999999993
2022-08-26,short,10:22,13029.869,13054.869,12954.869,10:27:00,12954.869,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.,6000.0,314828.00000000035,331864.8000000003,17036.79999999993,2022,8,308828.00000000035,63911.04000000021,150916.9600000001,0.0,60.0,60.0,5940.0,281408.00000000035,300064.8000000003,18656.79999999993
2022-08-29,long,10:22,12584.489,12559.489,12659.489,10:29:00,12559.489,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,312828.00000000035,331864.8000000003,19036.79999999993,2022,8,314828.00000000035,61911.04000000021,150916.9600000001,0.0,60.0,60.0,-2060.0,279348.00000000035,300064.8000000003,20716.79999999993
2022-08-30,short,10:22,12396.089,12421.089,12321.089,10:35:00,12321.089,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.,6000.0,318828.00000000035,331864.8000000003,13036.79999999993,2022,8,312828.00000000035,61911.04000000021,156916.9600000001,0.0,60.0,60.0,5940.0,285288.00000000035,300064.8000000003,14776.79999999993
2022-08-31,short,10:22,12414.919,12439.919,12339.919,11:00:00,12339.919,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.,6000.0,324828.00000000035,331864.8000000003,7036.79999999993,2022,8,318828.00000000035,61911.04000000021,162916.9600000001,0.0,60.0,60.0,5940.0,291228.00000000035,300064.8000000003,8836.79999999993
2022-09-01,short,10:22,12118.109,12143.109,12043.109,10:24:00,12143.109,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,322828.00000000035,331864.8000000003,9036.79999999993,2022,9,324828.00000000035,61911.04000000021,160916.9600000001,0.0,60.0,60.0,-2060.0,289168.00000000035,300064.8000000003,10896.79999999993
2022-09-02,long,10:22,12374.189,12349.189,12449.189,10:41:00,12449.189,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.,6000.0,328828.00000000035,331864.8000000003,3036.79999999993,2022,9,322828.00000000035,67911.04000000021,160916.9600000001,0.0,60.0,60.0,5940.0,295108.00000000035,300064.8000000003,4956.79999999993
2022-09-05,long,10:22,12137.889,12112.889,12212.889,12:00:00,12134.529,time,-3.359999999998763,-268.79999999990105,Conservative tie-break; checks start after entry bar.,-268.79999999990105,328559.2000000004,331864.8000000003,3305.5999999998603,2022,9,328828.00000000035,67642.24000000031,160916.9600000001,0.0,60.0,60.0,-328.79999999990105,294779.2000000004,300064.8000000003,5285.59999999986
2022-09-06,short,10:22,11944.139,11969.139,11869.139,10:26:00,11969.139,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,326559.2000000004,331864.8000000003,5305.59999999986,2022,9,328559.2000000004,67642.24000000031,158916.9600000001,0.0,60.0,60.0,-2060.0,292719.2000000004,300064.8000000003,7345.59999999986
2022-09-07,short,10:22,12051.289,12076.289,11976.289,10:30:00,12076.289,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,324559.2000000004,331864.8000000003,7305.59999999986,2022,9,326559.2000000004,67642.24000000031,156916.9600000001,0.0,60.0,60.0,-2060.0,290659.2000000004,300064.8000000003,9405.59999999986
2022-09-08,long,10:22,12254.679,12229.679,12329.679,10:24:00,12229.679,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,322559.2000000004,331864.8000000003,9305.59999999986,2022,9,324559.2000000004,65642.24000000031,156916.9600000001,0.0,60.0,60.0,-2060.0,288599.2000000004,300064.8000000003,11465.59999999986
2022-09-09,long,10:22,12513.329,12488.329,12588.329,10:25:00,12488.329,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,320559.2000000004,331864.8000000003,11305.59999999986,2022,9,322559.2000000004,63642.24000000031,156916.9600000001,0.0,60.0,60.0,-2060.0,286539.2000000004,300064.8000000003,13525.59999999986
